"Bacterial.Species","Organism.Name","Body.Site","Animal.Species","Date.and.Time","AMIKAC","AMOCLA","AMOXIC","AMPHOT","AMPICI","ANIDUL","AZITHR","BACITR","CASPOF","CEFAZO","CEFOVE","CEFOXI","CEFPOD","CEFTAZ","CEFTIF","CEPALE","CEPHAL","CHLORA","CHLTET","CIPROF","CLARYT","CLINDA","DANOFL","DAPTOM","DOXYCY","ENROFL","ERYTH","FLORFE","FLUCON","FLUCYT","GENTAM","IMIPEN","ITRACO","KANAMY","LINCOM","LINEZO","MARBOF","MICAFU","MINOCY","MOXIFL","NEOMYC","NITRO","NOVOBI","OFLOXA","ORBIFL","OXACIL","OXYTET","PENICI","PIPTAZ","POLYB","POSACO","PRADOF","RIFAMP","SDIMET","SPECT","STREPT","SULTHI","SYNERC","TETRA","TIAMUL","TICARC","TICCLA","TIGECY","TILMIC","TOBRAM","TRISUL","TULATH","TYLO","VANCOM","VORICO"
"S.PSE","Staphylococcus pseudintermedius","VAG","CAN","1/9/2018 13:05","<=      16",">       8",NA,NA,">       8",NA,NA,NA,NA,">       4",">       8",NA,">       8",NA,NA,NA,">       4","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,"1","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/7/2020 16:07","<=      16","0.5",NA,NA,">       8",NA,NA,NA,NA,"<=       2","8",NA,"8",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,">     0.5",">       4","<=    0.25",NA,NA,NA,"8","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"1",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","SLV","CAN","1/5/2018 13:02","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/7/2020 16:09","<=      16","8",NA,NA,">       8",NA,NA,NA,NA,">       4",">       8",NA,">       8",NA,NA,NA,">       4",">      32",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,">       2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EXUD","CAN","1/7/2020 15:27","<=      16","4",NA,NA,">       8",NA,NA,NA,NA,"4",">       8",NA,">       8",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,">       2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","ABS","CAN","1/7/2020 16:13","<=      16","<=    0.25",NA,NA,"4",NA,NA,NA,NA,"<=       2","1",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,">     0.5",">       4","0.5",NA,NA,NA,">      16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"0.5",NA,"8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/8/2020 16:32","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/5/2018 13:04","<=      16","1",NA,NA,"8",NA,NA,NA,NA,"<=       2",">       8",NA,"8",NA,NA,NA,"<=       2",">      32",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,">      16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","URI","CAN","1/8/2016 9:57",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","1/8/2016 12:44","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       8","<=    0.25","<=     0.5",NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/9/2018 12:00","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.12",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5","<=    0.25",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"0.25",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","UROLITH","CAN","1/8/2019 6:13",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","HARD","CAN","1/10/2017 13:24",NA,"<=    0.12",NA,NA," =    0.25",NA,NA,NA,NA,"<=       1"," =     0.5","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," >      16",NA,NA,NA," >       4",NA,NA," >       8"," =     0.5"," >       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA," =       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =    0.25",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EAR","CAN","1/7/2017 11:58","<=       4","<=    0.12",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,"<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","URIVOID","CAN","1/10/2017 9:21",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","URI","CAN","1/10/2018 9:27",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/9/2020 14:55","<=      16","0.5",NA,NA,"8",NA,NA,NA,NA,"<=       2","8",NA,">       8",NA,NA,NA,"<=       2",">      32",NA,NA,NA,"<=     0.5",NA,NA,">     0.5",">       4","<=    0.25",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,">       2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/9/2018 12:14","<=      16","2",NA,NA,"4",NA,NA,NA,NA,"<=       2",">       8",NA,">       8",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,">     0.5","<=    0.25","<=    0.25",NA,NA,NA,"8","<=       1",NA,NA,NA,NA,"<=       1",NA,"2",NA,NA,"<=      16",NA,NA,NA,"2",NA,">       8",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/8/2019 15:56","<=      16","<=    0.25",NA,NA,"0.5",NA,NA,NA,NA,"<=       2","0.12",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"2",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","LIP","CAN","1/9/2019 15:14","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"2",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","URIVOID","CAN","1/8/2016 9:54",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =      64",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","INTER","CAN","1/10/2018 12:34","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","URI","CAN","1/9/2016 10:03",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","CORN","CAN","1/9/2019 8:27","<=      16",NA,NA,NA,NA,NA,NA,">       4",NA,"<=       8",NA,NA,NA,NA,"<=       2",NA,NA,"<=       4",NA,"<=       1",NA,NA,NA,NA,"<=    0.12",NA,"<=     0.5",NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,"0.25",NA,NA,"<=     0.5",NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      16",NA,NA,NA,"<=       4","<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/9/2019 15:16","<=      16","<=    0.25",NA,NA,"2",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"8",NA,NA,NA,">       2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/10/2020 13:22","<=      16","<=    0.25",NA,NA,"0.5",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2",">      32",NA,NA,NA,">       4",NA,NA,">     0.5","<=    0.25",">       4",NA,NA,NA,"8","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"1",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","1/10/2017 13:22","<=       4","<=    0.12",NA,NA," =     0.5",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," >      16",NA,NA,NA," >       4",NA,NA," =       8","<=    0.25"," >       4",NA,NA,NA," =       8","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","TOE","CAN","1/9/2020 14:58","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","EAR","CAN","1/10/2020 13:24","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"4",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","WOUS","CAN","1/10/2020 16:04","<=      16","<=    0.25",NA,NA,"1",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2",">      32",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"8","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"2",NA,NA,NA,">       2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","EAR","CAN","1/9/2016 12:56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," >       4",NA,NA,"<=       2"," >       2"," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/9/2020 14:57","<=      16","0.5",NA,NA,"8",NA,NA,NA,NA,"<=       2","2",NA,"4",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"1",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","FOOT","CAN","1/10/2018 12:33","<=      16","<=    0.25",NA,NA,"1",NA,NA,NA,NA,"<=       2","4",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"0.5",NA,">       8",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
